Confirmed,Deaths,Recovered,Active,FIPS,People_Hospitalized,Case_Fatality_Ratio,UID,Date,Last_Update,People_Tested,Hospitalization_rate,Mortality_Rate,Testing_Rate,Incident_Rate,Total_Test_Results
197724,2906,NA,NA,30,NA,1.4697254759159233,84000030,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,216684.94299096725,18500.00654953601,2315881
338257,3338,NA,NA,31,NA,0.9868236281880346,84000031,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,230633.29969685816,17486.33173560076,4461389
484641,8419,NA,NA,32,NA,1.7371621468262075,84000032,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,164449.75514227198,15734.300470495651,5065309
198667,1961,NA,NA,33,NA,0.987078880740133,84000033,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,231707.6202222384,14610.97247871055,3150554
1596644,29053,NA,NA,34,NA,1.8196291721886653,84000034,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,188593.1960473712,17975.79200625071,16751206
350043,5855,NA,NA,35,NA,1.6726516456549625,84000035,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,270882.65185191546,16693.92210809751,5679946
3517696,59585,NA,NA,36,NA,1.693864393057274,84000036,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,454861.6780238847,18082.5299799867,88486794
1686667,19426,NA,NA,37,NA,1.1517389028183986,84000037,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,2.0705590267965053e-5,16081.745722097572,21716197
174508,2057,NA,NA,38,NA,1.1779460103306496,84000038,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,268600.84874983924,22914.93343061326,2046905
3287,14,NA,NA,69,NA,0.4259202920596288,580,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,31811.25779776585,5960.757290004352,17542
2016095,32020,NA,NA,39,NA,1.5835563304308578,84000039,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,2.2510469582773697e-5,17247.649519637955,26312713
708938,12419,NA,NA,40,NA,1.7517751904962071,84000040,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,123314.4999040933,17916.178814552848,4879519
421263,5655,NA,NA,41,NA,1.342391807493181,84000041,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,205344.33512568468,9987.891611070108,8660884
2059613,36714,NA,NA,42,NA,1.782567890181311,84000042,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,167858.28358390243,16088.226602913031,21489199
272724,3308,NA,NA,72,NA,1.212947888707998,630,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,108868.85218183082,8539.453059685744,3476938
231096,3066,NA,NA,44,NA,1.3267213625506282,84000044,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,623402.2207727111,21814.65996954768,6604080
975320,14636,NA,NA,45,NA,1.5006356887995735,84000045,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,207006.64282381968,18942.982655474745,10658180
179204,2486,NA,NA,46,NA,1.3872458204057945,84000046,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,1.2854229708848267e-5,20256.844727742555,1137161
1443867,20763,NA,NA,47,NA,1.4397567980251602,84000047,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,163910.7745680517,21164.829011531994,11193752
4675575,75748,NA,NA,48,NA,1.6199932628607177,84000048,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,134104.8061274634,16124.962714531765,38884870
636992,3787,NA,NA,49,NA,0.5945129609163067,84000049,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,157557.2106683868,19869.00639372069,5051218
64447,471,NA,NA,50,NA,0.7308330876534206,84000050,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,456161.4066914641,10328.22693989798,2846397
9648,89,NA,NA,78,NA,0.9224709784411276,850,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,232390.8341723533,8994.294663832643,249281
1118518,15587,NA,NA,51,NA,1.3935403811114349,84000051,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,131173.90987003836,13104.276377335696,11196374
849075,9853,NA,NA,53,NA,1.16043930159291,84000053,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,130778.60713210286,11150.189503647654,9958651
328162,5336,NA,NA,54,NA,1.6260261700014018,84000054,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,275536.7723741412,18311.10952393972,4938024
1120663,11173,NA,NA,55,NA,0.996999097855466,84000055,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,2.2937778255622992e-5,19247.32852274496,13355370
115638,1526,NA,NA,56,NA,1.319635413964268,84000056,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,207721.34860969768,19980.337238816155,1202206
369458,4872,202137,162449,1,NA,1.318688457145332,84000001,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,NA,7535.061393767521,NA
47821,215,7165,40441,2,NA,0.4495932749210597,84000002,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,176386.82514404444,6536.986788235857,1290349
0,0,NA,NA,60,NA,NA,16,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,3846.084721698028,0,2140
539150,9061,77867,452222,4,NA,1.6806083650190111,84000004,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,39916.14181455331,7407.212012776427,5218721
231442,3729,203701,24012,5,NA,1.6112028067507194,84000005,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,68917.26566735281,7669.219074532342,2079788
2481269,26538,NA,NA,6,NA,1.06540835348802,84000006,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,84509.14543583133,6281.734641961299,33391442
364645,5451,18217,316043,8,NA,1.4482327550623282,84000008,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,77703.631491355045,5889.695238677376,4474747
190120,6099,9800,174221,9,NA,3.20797391121397,84000009,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,122945.5300512974,5332.530031944132,4383361
58873,1072,18851,38950,10,NA,1.8208686494657995,84000010,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,1.0596766773057948e-5,6045.920777518988,1031875
49,0,NA,NA,88888,NA,0,84088888,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,NA,NA,NA
29509,792,21002,7715,11,NA,2.683926937544478,84000011,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,129136.27932876984,4181.231570997621,911378
1354833,21890,NA,NA,12,NA,1.615697285200464,84000012,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,81254.03993912393,6308.080781508778,17451529
685122,10960,NA,NA,13,NA,1.5997150872399368,84000013,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,51208.16981672483,6452.808746529172,5436988
103,3,NA,NA,99999,NA,2.912621359223301,84099999,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,NA,NA,NA
7326,122,7047,157,66,NA,1.6653016653016652,316,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,58577.35235555231,4460.844308861407,96201
