"date","location","administered","admin_per_100k","series_complete_pop_pct","additional_doses_vax_pct","second_booster","administered_bivalent"
2022-10-26,"NE","3529237","182445","65.3","53.9",NA,NA
2022-10-26,"NM","4420792","210832","73.8","53.2",NA,NA
2022-10-26,"WY","813579","140573","52.4","46.1",NA,NA
2022-10-26,"US","636871557","191824","68.4","49.3","33060955","22880703"
2022-10-26,"VI","151658","142683","54.8","31.5",NA,NA
2022-10-19,"MO","9823179","160054","58","45.6",NA,NA
2022-10-19,"WV","2958334","165072","59.1","48.4",NA,NA
2022-10-19,"WY","807478","139519","52.3","45.9",NA,NA
2022-10-19,"MN","11699340","207449","71","61.1",NA,NA
2022-10-19,"NV","5300327","172080","62.6","41.6",NA,NA
2022-10-19,"OK","6402950","161814","59.4","40.2",NA,NA
2022-10-19,"NH","2650292","194916","69.7","50.3",NA,NA
2022-10-19,"NE","3527696","182366","65.3","53.9",NA,NA
2022-10-19,"UT","5759719","179657","65.9","48.1",NA,NA
2022-10-19,"FM","180863","176762","67","49.6",NA,NA
2022-10-19,"HI","3301466","233175","80.5","58.1",NA,NA
2022-10-19,"ME","3235335","240686","82.1","59.2",NA,NA
2022-10-19,"CT","8440520","236742","81.8","54.2",NA,NA
2022-10-19,"CO","12026290","208836","72.4","55.9",NA,NA
2022-10-19,"VA2","8045523","0","0","41.6",NA,NA
2022-10-19,"PA","25499489","199184","71.5","45.6",NA,NA
2022-10-19,"BP2","334755","0","0","37.5",NA,NA
2022-10-19,"AK","1253333","171327","64.4","47.8",NA,NA
2022-10-19,"TX","49010845","169027","62.4","37.7",NA,NA
2022-10-19,"AL","6671583","136066","52.5","38.3",NA,NA
2022-10-19,"NM","4379267","208852","73.7","53",NA,NA
2022-10-19,"CA","82931586","209888","74.2","55.9",NA,NA
2022-10-19,"SC","8189510","159059","59","43.3",NA,NA
2022-10-19,"DC","1792956","254050","82.1","46.2",NA,NA
2022-10-19,"MT","1747555","163510","58.4","50.6",NA,NA
2022-10-19,"NC","18355342","175011","65","30.1",NA,NA
2022-10-19,"MD","13639039","225600","78.3","55.1",NA,NA
2022-10-19,"NJ","18745254","211043","77.9","50.6",NA,NA
2022-10-19,"IH2","2416844","116037","43.2","35.1",NA,NA
2022-10-19,"IA","5669208","179686","63.5","55.8",NA,NA
2022-10-19,"IL","25040595","197608","70.3","55.4",NA,NA
2022-10-19,"MH","92665","119197","44.1","43.3",NA,NA
2022-10-19,"LA","6675969","143606","54.6","42.2",NA,NA
2022-10-19,"KY","7078732","158443","58.9","47",NA,NA
2022-10-19,"GU","380137","225615","84.7","52.1",NA,NA
2022-10-19,"WA","16242514","213299","74.8","56.4",NA,NA
2022-10-19,"MI","17512795","175358","61.6","57.1",NA,NA
2022-10-19,"VI","151342","142386","54.7","31.6",NA,NA
2022-10-19,"WI","11463318","196882","67.3","59.1",NA,NA
2022-10-19,"TN","10808573","158271","55.8","46.9",NA,NA
2022-10-19,"VA","18195660","213176","75.4","51.7",NA,NA
2022-10-19,"OR","8670655","205576","71.3","57",NA,NA
2022-10-19,"VT","1607688","257647","83.9","64.4",NA,NA
2022-10-19,"PW","50109","232719","85.4","66.3",NA,NA
2022-10-19,"SD","1565885","177004","64.6","44.9",NA,NA
2022-10-19,"NY","42575677","218858","79.4","47.8",NA,NA
2022-10-19,"US","632905664","190629","68.2","49.1","31529620","19350108"
2022-10-19,"PR","7759671","242969","85.9","62.5",NA,NA
2022-10-19,"AS","114484","241568","89.5","57.9",NA,NA
2022-10-19,"MA","16623462","241182","82.2","54.5",NA,NA
2022-10-19,"MS","4128027","138704","53.3","40.2",NA,NA
2022-10-19,"DD2","9048865","0","0","26.3",NA,NA
2022-10-19,"KS","5013773","172099","64.1","47.2",NA,NA
2022-10-19,"AR","4610829","152788","56.1","42.9",NA,NA
2022-10-19,"RI","2469730","233134","86.1","56.7",NA,NA
2022-10-19,"AZ","13468387","185038","63.8","46",NA,NA
2022-10-19,"OH","19660518","168195","59.7","55.2",NA,NA
2022-10-19,"FL","40221534","187271","68.6","42.9",NA,NA
2022-10-19,"ID","2689697","150509","55.7","46.7",NA,NA
2022-10-19,"MP","113992","219845","84.3","52.2",NA,NA
2022-10-19,"IN","10554286","156773","57.2","49.3",NA,NA
2022-10-19,"GA","16145091","152062","56.4","41.9",NA,NA
2022-10-19,"ND","1213901","159292","57.4","46.5",NA,NA
2022-10-19,"DE","2006096","206015","71.8","49.3",NA,NA
2022-10-12,"PW","49838","231460","85.4","66",NA,NA
2022-10-12,"DD2","9030623","0","0","26.2",NA,NA
2022-10-12,"IH2","2403601","115402","43.1","35",NA,NA
2022-10-12,"PR","7723269","241829","85.7","62.3",NA,NA
2022-10-12,"UT","5658405","176497","65.8","47.7",NA,NA
2022-10-12,"FM","180863","176762","67","49.6",NA,NA
2022-10-12,"IN","10484321","155734","57.1","49.1",NA,NA
2022-10-12,"DE","2005782","205982","71.7","49.3",NA,NA
2022-10-12,"US","627854963","189108","68.1","49","29562884","14777764"
2022-10-12,"ID","2669864","149399","55.6","46.5",NA,NA
2022-10-12,"WV","2939144","164001","59","48.3",NA,NA
2022-10-12,"MA","16484143","239160","82","54.3",NA,NA
2022-10-12,"FL","40077981","186602","68.6","42.8",NA,NA
2022-10-12,"MS","4111818","138159","53.2","40.1",NA,NA
2022-10-12,"OH","19511642","166922","59.7","55",NA,NA
2022-10-12,"KY","7036983","157509","58.8","46.9",NA,NA
2022-10-12,"WI","11344055","194834","67.2","59",NA,NA
2022-10-12,"AR","4579370","151745","56","42.7",NA,NA
2022-10-12,"NY","42314165","217514","79.3","47.7",NA,NA
2022-10-12,"SC","8137756","158054","58.9","43.2",NA,NA
2022-10-12,"NJ","18625366","209693","77.8","50.5",NA,NA
2022-10-12,"IA","5607726","177737","63.4","55.6",NA,NA
2022-10-12,"AK","1244818","170163","64.4","47.7",NA,NA
2022-10-12,"VT","1587925","254480","83.7","64.2",NA,NA
2022-10-12,"WA","16070500","211040","74.7","56.2",NA,NA
2022-10-12,"MH","92665","119197","44.1","43.3",NA,NA
2022-10-12,"BP2","333711","0","0","37.5",NA,NA
